08-10-2012 11:20:05

Radiation device: UTest
Energy: 6 MeV
Controller:	Unspecified
Measurement device:	Film
Field detector:	Film
Reference detector:	Undefined
SAD:	1000 mm
SSD:	1000 mm
Field size:	100 x 100 mm
Gantry angle: 3
Measurement medium: Unknown
Scan type:	Freescan
Scan mode:	Continuous

Points [mm]:
Inline	Crossline	Depth	Normalized field	Current field	Ratio
132.98	85.58	0.00	2.33	0.00	0.00	
132.98	85.75	0.00	2.34	0.00	0.00	
132.98	85.92	0.00	2.35	0.00	0.00	
132.97	86.09	0.00	2.36	0.00	0.00	
132.97	86.26	0.00	2.37	0.00	0.00	
132.96	86.43	0.00	2.38	0.00	0.00	
132.96	86.60	0.00	2.40	0.00	0.00	
132.96	86.77	0.00	2.40	0.00	0.00	
132.95	86.94	0.00	2.40	0.00	0.00	
132.95	87.11	0.00	2.40	0.00	0.00	
132.95	87.28	0.00	2.40	0.00	0.00	
132.94	87.44	0.00	2.41	0.00	0.00	
132.94	87.61	0.00	2.42	0.00	0.00	
132.93	87.78	0.00	2.43	0.00	0.00	
132.93	87.95	0.00	2.46	0.00	0.00	
132.93	88.12	0.00	2.47	0.00	0.00	
132.92	88.29	0.00	2.49	0.00	0.00	
132.92	88.46	0.00	2.51	0.00	0.00	
132.92	88.63	0.00	2.53	0.00	0.00	
132.91	88.80	0.00	2.54	0.00	0.00	
132.91	88.97	0.00	2.55	0.00	0.00	
132.90	89.14	0.00	2.55	0.00	0.00	
132.90	89.31	0.00	2.56	0.00	0.00	
132.90	89.48	0.00	2.58	0.00	0.00	
132.89	89.65	0.00	2.59	0.00	0.00	
132.89	89.82	0.00	2.60	0.00	0.00	
132.89	89.99	0.00	2.61	0.00	0.00	
132.88	90.16	0.00	2.62	0.00	0.00	
132.88	90.33	0.00	2.62	0.00	0.00	
132.88	90.49	0.00	2.64	0.00	0.00	
132.87	90.66	0.00	2.64	0.00	0.00	
132.87	90.83	0.00	2.65	0.00	0.00	
132.86	91.00	0.00	2.67	0.00	0.00	
132.86	91.17	0.00	2.69	0.00	0.00	
132.86	91.34	0.00	2.71	0.00	0.00	
132.85	91.51	0.00	2.74	0.00	0.00	
132.85	91.68	0.00	2.75	0.00	0.00	
132.85	91.85	0.00	2.77	0.00	0.00	
132.84	92.02	0.00	2.79	0.00	0.00	
132.84	92.19	0.00	2.80	0.00	0.00	
132.83	92.36	0.00	2.80	0.00	0.00	
132.83	92.53	0.00	2.82	0.00	0.00	
132.83	92.70	0.00	2.83	0.00	0.00	
132.82	92.87	0.00	2.85	0.00	0.00	
132.82	93.04	0.00	2.87	0.00	0.00	
132.82	93.21	0.00	2.90	0.00	0.00	
132.81	93.38	0.00	2.92	0.00	0.00	
132.81	93.54	0.00	2.94	0.00	0.00	
132.80	93.71	0.00	2.95	0.00	0.00	
132.80	93.88	0.00	2.97	0.00	0.00	
132.80	94.05	0.00	2.98	0.00	0.00	
132.79	94.22	0.00	3.00	0.00	0.00	
132.79	94.39	0.00	3.03	0.00	0.00	
132.79	94.56	0.00	3.05	0.00	0.00	
132.78	94.73	0.00	3.08	0.00	0.00	
132.78	94.90	0.00	3.10	0.00	0.00	
132.78	95.07	0.00	3.11	0.00	0.00	
132.77	95.24	0.00	3.11	0.00	0.00	
132.77	95.41	0.00	3.12	0.00	0.00	
132.76	95.58	0.00	3.13	0.00	0.00	
132.76	95.75	0.00	3.15	0.00	0.00	
132.76	95.92	0.00	3.17	0.00	0.00	
132.75	96.09	0.00	3.19	0.00	0.00	
132.75	96.26	0.00	3.22	0.00	0.00	
132.75	96.43	0.00	3.24	0.00	0.00	
132.74	96.59	0.00	3.27	0.00	0.00	
132.74	96.76	0.00	3.30	0.00	0.00	
132.73	96.93	0.00	3.34	0.00	0.00	
132.73	97.10	0.00	3.36	0.00	0.00	
132.73	97.27	0.00	3.39	0.00	0.00	
132.72	97.44	0.00	3.41	0.00	0.00	
132.72	97.61	0.00	3.44	0.00	0.00	
132.72	97.78	0.00	3.46	0.00	0.00	
132.71	97.95	0.00	3.48	0.00	0.00	
132.71	98.12	0.00	3.50	0.00	0.00	
132.70	98.29	0.00	3.52	0.00	0.00	
132.70	98.46	0.00	3.54	0.00	0.00	
132.70	98.63	0.00	3.57	0.00	0.00	
132.69	98.80	0.00	3.61	0.00	0.00	
132.69	98.97	0.00	3.65	0.00	0.00	
132.69	99.14	0.00	3.69	0.00	0.00	
132.68	99.31	0.00	3.73	0.00	0.00	
132.68	99.48	0.00	3.77	0.00	0.00	
132.68	99.64	0.00	3.80	0.00	0.00	
132.67	99.81	0.00	3.83	0.00	0.00	
132.67	99.98	0.00	3.87	0.00	0.00	
132.66	100.15	0.00	3.90	0.00	0.00	
132.66	100.32	0.00	3.95	0.00	0.00	
132.66	100.49	0.00	3.99	0.00	0.00	
132.65	100.66	0.00	4.03	0.00	0.00	
132.65	100.83	0.00	4.08	0.00	0.00	
132.65	101.00	0.00	4.12	0.00	0.00	
132.64	101.17	0.00	4.16	0.00	0.00	
